YEAR,Location,Death Rate,Deaths,URL
2023,VT,3.4,21,/nchs/state-stats/states/vt.html
2023,VA,6.8,576,/nchs/state-stats/states/va.html
2023,WA,5.4,414,/nchs/state-stats/states/wa.html
2023,WV,5.4,88,/nchs/state-stats/states/wv.html
2023,WI,5.1,284,/nchs/state-stats/states/wi.html
2023,WY,,18,/nchs/state-stats/states/wy.html
2022,AL,14.9,706,/nchs/state-stats/states/al.html
2022,AK,10.2,76,/nchs/state-stats/states/ak.html
2022,AZ,9,629,/nchs/state-stats/states/az.html
2022,AR,11.8,345,/nchs/state-stats/states/ar.html
2022,CA,5.9,2304,/nchs/state-stats/states/ca.html
2022,CO,7.2,417,/nchs/state-stats/states/co.html
2022,CT,4.3,147,/nchs/state-stats/states/ct.html
2022,DE,7,64,/nchs/state-stats/states/de.html
2022,District of Columbia,23.7,169,/nchs/state-stats/states/dc.html
2022,FL,7.2,1473,/nchs/state-stats/states/fl.html
2022,GA,11.3,1223,/nchs/state-stats/states/ga.html
2022,HI,3,42,/nchs/state-stats/states/hi.html
2022,ID,2.7,49,/nchs/state-stats/states/id.html
2022,IL,10.9,1312,/nchs/state-stats/states/il.html
2022,IN,8.4,553,/nchs/state-stats/states/in.html
2022,IA,2.9,90,/nchs/state-stats/states/ia.html
2022,KS,5.8,161,/nchs/state-stats/states/ks.html
2022,KY,8.3,348,/nchs/state-stats/states/ky.html
2022,LA,19.8,862,/nchs/state-stats/states/la.html
2022,ME,2.6,32,/nchs/state-stats/states/me.html
2022,MD,11.4,658,/nchs/state-stats/states/md.html
2022,MA,2.5,171,/nchs/state-stats/states/ma.html
2022,MI,8.6,801,/nchs/state-stats/states/mi.html
2022,MN,3.8,207,/nchs/state-stats/states/mn.html
2022,MS,20.7,576,/nchs/state-stats/states/ms.html
2022,MO,12.8,744,/nchs/state-stats/states/mo.html
2022,MT,5.4,57,/nchs/state-stats/states/mt.html
2022,NE,3.7,73,/nchs/state-stats/states/ne.html
2022,NV,7.8,244,/nchs/state-stats/states/nv.html
2022,NH,1.8,25,/nchs/state-stats/states/nh.html
2022,NJ,3.8,332,/nchs/state-stats/states/nj.html
2022,NM,14.5,290,/nchs/state-stats/states/nm.html
2022,NY,4.5,853,/nchs/state-stats/states/ny.html
2022,NC,9.2,954,/nchs/state-stats/states/nc.html
2022,ND,3.5,28,/nchs/state-stats/states/nd.html
2022,OH,8.5,929,/nchs/state-stats/states/oh.html
2022,OK,8.3,317,/nchs/state-stats/states/ok.html
2022,OR,5.1,212,/nchs/state-stats/states/or.html
2022,PA,8.9,1068,/nchs/state-stats/states/pa.html
2022,RI,2,22,/nchs/state-stats/states/ri.html
2022,SC,11.8,595,/nchs/state-stats/states/sc.html
2022,SD,6.9,56,/nchs/state-stats/states/sd.html
2022,TN,11,738,/nchs/state-stats/states/tn.html
2022,TX,7.6,2281,/nchs/state-stats/states/tx.html
2022,UT,2.2,72,/nchs/state-stats/states/ut.html
2022,VT,,18,/nchs/state-stats/states/vt.html
2022,VA,7.8,653,/nchs/state-stats/states/va.html
2022,WA,5.4,424,/nchs/state-stats/states/wa.html
2022,WV,6.2,105,/nchs/state-stats/states/wv.html
2022,WI,6,327,/nchs/state-stats/states/wi.html
2022,WY,,17,/nchs/state-stats/states/wy.html
2021,AL,15.9,748,/nchs/state-stats/states/al.html
2021,AK,6.4,49,/nchs/state-stats/states/ak.html
2021,AZ,8.1,562,/nchs/state-stats/states/az.html
